"id","parent_id","name","fullname","parent_name","name_ru","vehicle_type_id","slug","source","parent_model_id","freq"
1,NULL,"Microcar","","","Микрокар",NULL,"microcar",NULL,NULL,0
2,NULL,"AC","","","АЦ",NULL,"ac",NULL,NULL,2
3,NULL,"Acura","","","Акура",NULL,"acura",NULL,NULL,119
4,NULL,"Admiral","","","Admiral",NULL,"admiral",NULL,NULL,0
5,NULL,"Alfa Romeo","","","Альфа Ромео",NULL,"alfaromeo",NULL,NULL,31
6,NULL,"Alpina","","","Альпина",NULL,"alpina",NULL,NULL,0
7,NULL,"Aro","","","Аро",NULL,"aro",NULL,NULL,0
8,NULL,"Asia","","","Азия",NULL,"asia",NULL,NULL,3
9,NULL,"Aston Martin","","","Астон Мартин",NULL,"astonmartin",NULL,NULL,30
10,NULL,"Audi","","","Ауди",NULL,"audi",NULL,NULL,12934
11,NULL,"BMW","","","БМВ",NULL,"bmw",NULL,NULL,11618
12,NULL,"BYD","","","БИД",NULL,"byd",NULL,NULL,68
13,NULL,"Bentley","","","Бентли",NULL,"bentley",NULL,NULL,214
14,NULL,"Brilliance","","","Бриллианс",NULL,"brilliance",NULL,NULL,9
15,NULL,"Bugatti","","","Бугатти",NULL,"bugatti",NULL,NULL,1
16,NULL,"Buick","","","Бьюик",NULL,"buick",NULL,NULL,16
17,NULL,"Cadillac","","","Кадилак",NULL,"cadillac",NULL,NULL,300
18,NULL,"Caterham","","","Катерхам",NULL,"caterham",NULL,NULL,0
19,NULL,"ChangFeng","","","ЧангФэнг",NULL,"changfeng",NULL,NULL,1
20,NULL,"Chery","","","Чери",NULL,"chery",NULL,NULL,371
21,NULL,"Chevrolet","","","Шевроле",NULL,"chevrolet",NULL,NULL,19186
22,NULL,"Chrysler","","","Крайслер",NULL,"chrysler",NULL,NULL,693
23,NULL,"Citroen","","","Ситроен",NULL,"citroen",NULL,NULL,4470
24,NULL,"DADI","","","Дади",NULL,"dadi",NULL,NULL,0
25,NULL,"Dacia","","","Дачия",NULL,"dacia",NULL,NULL,2
26,NULL,"Daewoo","","","Дэу",NULL,"daewoo",NULL,NULL,1294
27,NULL,"Daihatsu","","","Дайхатсу",NULL,"daihatsu",NULL,NULL,515
28,NULL,"Daimler","","","Даймлер",NULL,"daimler",NULL,NULL,30
29,NULL,"De Tomaso","","","Де Томасо",NULL,"detomaso",NULL,NULL,0
30,NULL,"Derways","","","Дарвэйс",NULL,"derways",NULL,NULL,6
31,NULL,"Dodge","","","Додж",NULL,"dodge",NULL,NULL,877
32,NULL,"Doninvest","","","Донинвест",NULL,"doninvest",NULL,NULL,15
33,NULL,"Donkervoort","","","Донкервурт",NULL,"donkervoort",NULL,NULL,0
34,NULL,"Eagle","","","Игл",NULL,"eagle",NULL,NULL,0
35,NULL,"FAW","","","ФАВ",NULL,"faw",NULL,NULL,24
36,NULL,"FSO","","","ФСО",NULL,"fso",NULL,NULL,0
37,NULL,"FSR","","","FSR",NULL,"fsr",NULL,NULL,0
38,NULL,"Ferrari","","","Феррари",NULL,"ferrari",NULL,NULL,44
39,NULL,"Fiat","","","Фиат",NULL,"fiat",NULL,NULL,1260
40,NULL,"Ford","","","Форд",NULL,"ford",NULL,NULL,25348
41,NULL,"GMC","","","Джи Эм Си",NULL,"gmc",NULL,NULL,17
42,NULL,"Geely","","","Джили",NULL,"geely",NULL,NULL,540
43,NULL,"Geo","","","Гео",NULL,"geo",NULL,NULL,0
44,NULL,"Ginetta","","","Ginetta",NULL,"ginetta",NULL,NULL,0
45,NULL,"Gonow","","","Гонов",NULL,"gonow",NULL,NULL,0
46,NULL,"Great Wall","","","Грейт Волл",NULL,"greatwall",NULL,NULL,397
47,NULL,"Hafei","","","Хафей",NULL,"hafei",NULL,NULL,5
48,NULL,"Holden","","","Холден",NULL,"holden",NULL,NULL,0
49,NULL,"Honda","","","Хонда",NULL,"honda",NULL,NULL,20035
50,NULL,"Huanghai","","","ХуангХай",NULL,"huanghai",NULL,NULL,11
51,NULL,"Hummer","","","Хаммер",NULL,"hummer",NULL,NULL,201
52,NULL,"Hyundai","","","Хёндай",NULL,"hyundai",NULL,NULL,12441
53,NULL,"Infiniti","","","Инфинити",NULL,"infiniti",NULL,NULL,1137
54,NULL,"Intrall","","","Intrall",NULL,"intrall",NULL,NULL,0
55,NULL,"Iran Khodro","","","Иран Ходро",NULL,"irankhodro",NULL,NULL,21
56,NULL,"Isuzu","","","Исузу",NULL,"isuzu",NULL,NULL,156
57,NULL,"JMC","","","ДжейЭмСи",NULL,"jmc",NULL,NULL,1
