"id","parent_id","name","fullname","parent_name","name_ru","name_en"
1,NULL,"Microcar","","","Microcar",NULL
2,NULL,"AC","","","AC",NULL
3,NULL,"Acura","","","Acura",NULL
4,NULL,"Admiral","","","Admiral",NULL
5,NULL,"Alfa Romeo","","","Alfa Romeo",NULL
6,NULL,"Alpina","","","Alpina",NULL
7,NULL,"Aro","","","Aro",NULL
8,NULL,"Asia","","","Asia",NULL
9,NULL,"Aston Martin","","","Aston Martin",NULL
10,NULL,"Audi","","","Audi",NULL
11,NULL,"BMW","","","BMW",NULL
12,NULL,"BYD","","","BYD",NULL
13,NULL,"Bentley","","","Bentley",NULL
14,NULL,"Brilliance","","","Brilliance",NULL
15,NULL,"Bugatti","","","Bugatti",NULL
16,NULL,"Buick","","","Buick",NULL
17,NULL,"Cadillac","","","Cadillac",NULL
18,NULL,"Caterham","","","Caterham",NULL
19,NULL,"ChangFeng","","","ChangFeng",NULL
20,NULL,"Chery","","","Chery",NULL
21,NULL,"Chevrolet","","","Chevrolet",NULL
22,NULL,"Chrysler","","","Chrysler",NULL
23,NULL,"Citroen","","","Citroen",NULL
24,NULL,"DADI","","","DADI",NULL
25,NULL,"Dacia","","","Dacia",NULL
26,NULL,"Daewoo","","","Daewoo",NULL
27,NULL,"Daihatsu","","","Daihatsu",NULL
28,NULL,"Daimler","","","Daimler",NULL
29,NULL,"De Tomaso","","","De Tomaso",NULL
30,NULL,"Derways","","","Derways",NULL
31,NULL,"Dodge","","","Dodge",NULL
32,NULL,"Doninvest","","","Doninvest",NULL
33,NULL,"Donkervoort","","","Donkervoort",NULL
34,NULL,"Eagle","","","Eagle",NULL
35,NULL,"FAW","","","FAW",NULL
36,NULL,"FSO","","","FSO",NULL
37,NULL,"FSR","","","FSR",NULL
38,NULL,"Ferrari","","","Ferrari",NULL
39,NULL,"Fiat","","","Fiat",NULL
40,NULL,"Ford","","","Ford",NULL
41,NULL,"GMC","","","GMC",NULL
42,NULL,"Geely","","","Geely",NULL
43,NULL,"Geo","","","Geo",NULL
44,NULL,"Ginetta","","","Ginetta",NULL
45,NULL,"Gonow","","","Gonow",NULL
46,NULL,"Great Wall","","","Great Wall",NULL
47,NULL,"Hafei","","","Hafei",NULL
48,NULL,"Holden","","","Holden",NULL
49,NULL,"Honda","","","Honda",NULL
50,NULL,"Huanghai","","","Huanghai",NULL
51,NULL,"Hummer","","","Hummer",NULL
52,NULL,"Hyundai","","","Hyundai",NULL
53,NULL,"Infiniti","","","Infiniti",NULL
54,NULL,"Intrall","","","Intrall",NULL
55,NULL,"Iran Khodro","","","Iran Khodro",NULL
56,NULL,"Isuzu","","","Isuzu",NULL
57,NULL,"JMC","","","JMC",NULL
58,NULL,"Jaguar","","","Jaguar",NULL
59,NULL,"Jeep","","","Jeep",NULL
60,NULL,"Jindei","","","Jindei",NULL
61,NULL,"Kia","","","Kia",NULL
62,NULL,"Lamborghini","","","Lamborghini",NULL
63,NULL,"Lancia","","","Lancia",NULL
64,NULL,"Land Rover","","","Land Rover",NULL
65,NULL,"Landwind","","","Landwind",NULL
66,NULL,"Lexus","","","Lexus",NULL
67,NULL,"Lifan","","","Lifan",NULL
68,NULL,"Lincoln","","","Lincoln",NULL
69,NULL,"Lotus","","","Lotus",NULL
70,NULL,"MG","","","MG",NULL
71,NULL,"MINI","","","MINI",NULL
72,NULL,"Mahindra","","","Mahindra",NULL
73,NULL,"Marcos","","","Marcos",NULL
74,NULL,"Maruti","","","Maruti",NULL
75,NULL,"Maserati","","","Maserati",NULL
76,NULL,"Maybach","","","Maybach",NULL
77,NULL,"Mazda","","","Mazda",NULL
78,NULL,"McLaren","","","McLaren",NULL
79,NULL,"Mercedes-Benz","","","Mercedes-Benz",NULL
